Rank	Player	Country	Min rating	Med rating	Max rating
697	こんぺ	Japan	0.78	1.05	1.42
698	アネクポトロ	Japan	0.78	0.83	0.88
699	ともひろ	Japan	0.77	0.87	0.98
700	わらび	Japan	0.77	1.01	1.32
701	valar	Japan	0.77	0.81	0.86
702	Pitot	Japan	0.77	0.97	1.23
703	ねぎしおたん	Japan	0.77	1.10	1.57
704	くまたか	Japan	0.77	1.08	1.53
705	SadColor	USA	0.76	0.89	1.04
706	がたら	Japan	0.76	1.07	1.51
707	でんでんにきにき	Japan	0.76	2.10	5.84
708	む	Japan	0.76	3.24	13.91
709	takat	Japan	0.76	0.99	1.30
710	jet9set	France	0.75	0.80	0.85
711	SuG	Japan	0.75	0.83	0.92
712	ナベケン	Japan	0.75	1.04	1.45
713	ますぶちゆき	Japan	0.75	0.90	1.09
714	黒音🙂🍭	Japan	0.75	0.83	0.93
715	ポン酢	Japan	0.75	0.99	1.32
716	カンナ	Japan	0.75	0.96	1.23
717	はる	Japan	0.75	1.24	2.05
718	xginga	Japan	0.75	0.82	0.90
719	わいわい	Japan	0.74	1.09	1.59
720	てんこ	Japan	0.74	0.84	0.96
721	なでしこ	Japan	0.74	0.76	0.78
722	たま	Japan	0.74	0.82	0.91
723	Angel_OF_Diamond	France	0.73	0.85	0.99
724	もやし	Japan	0.73	0.92	1.16
725	なおゆき	Japan	0.73	0.94	1.21
726	あきお	Japan	0.73	0.78	0.83
727	さな	Japan	0.73	0.80	0.87
728	こはく	Japan	0.73	0.86	1.01
729	オンドゥ	Japan	0.72	0.80	0.89
730	てぃは	Japan	0.72	1.00	1.37
731	FUJI	Japan	0.72	0.81	0.90
732	みるひ	Japan	0.72	0.77	0.82
733	こたつ	Japan	0.72	0.94	1.23
734	cit	Japan	0.72	0.78	0.85
735	ルゥ	Japan	0.71	0.77	0.83
736	うぃるお	Japan	0.71	0.77	0.84
737	simetuha	Japan	0.71	1.09	1.67
738	隆	Japan	0.71	0.84	0.99
739	とみまるたろう	Japan	0.71	0.93	1.21
740	きっど	Japan	0.71	0.82	0.95
741	ロト(21)	Japan	0.71	0.73	0.75
742	わしん	Japan	0.71	0.73	0.76
743	Rozaic	Japan	0.71	0.87	1.06
744	みいつ	Japan	0.70	0.83	0.99
745	Norel	France	0.70	0.73	0.75
746	しゅー	Japan	0.70	0.89	1.11
747	Ckolt	Japan	0.70	0.91	1.17
748	トーマ	Japan	0.70	1.23	2.16
749	ealdgyth	Japan	0.70	0.77	0.84
750	はやを	Japan	0.70	0.82	0.95
751	あい	Japan	0.70	0.78	0.86
752	OFF.	Japan	0.70	1.03	1.52
753	def	Japan	0.69	1.58	3.61
754	ていとくん	Japan	0.69	0.77	0.85
755	箸うぃ	Japan	0.69	0.81	0.95
756	かばお☽⋆゜	Japan	0.69	0.99	1.41
757	あすなろ	Japan	0.69	0.74	0.79
758	nitro	Japan	0.69	0.78	0.88
759	welbeck	Japan	0.69	0.99	1.44
760	curry	Japan	0.69	0.72	0.76
761	ナノカ	Japan	0.69	0.84	1.02
762	ロイ	Japan	0.69	0.75	0.82
763	ペンギン	Japan	0.69	0.85	1.05
764	Cube	Japan	0.68	0.84	1.04
765	ぽんでり	Japan	0.68	1.08	1.71
766	しおじい	Japan	0.68	0.98	1.40
